Publishing Year,language_code,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,units sold,publisher_code,author_rating
2012.0,0.0,4.24,81982,0,2250.49,1350.294,4.99,229,451,6,2
2002.0,0.0,4.26,118576,0,4792.5,2875.5,10.65,230,450,7,2
1997.0,0.0,4.1,104549,0,4771.2,2862.72,10.65,231,448,6,2
2012.0,0.0,3.9,118475,0,443.52,266.112,0.99,231,448,0,2
2006.0,0.0,4.3,118751,0,1324.57,794.742,2.99,234,443,8,2
1995.0,0.0,4.17,137047,0,8811.18,5286.708,19.98,235,441,7,2
2009.0,0.0,4.01,145157,0,2175.64,1305.384,4.99,238,436,7,2
2013.0,0.0,4.26,109313,0,430.65,0.0,0.99,239,435,0,2
2011.0,0.0,4.23,164832,0,5191.67,3115.002,11.99,240,433,6,2
1982.0,0.0,4.19,131562,0,2593.67,1556.202,5.99,240,433,1,2
2013.0,0.0,4.49,160485,0,426.69,256.014,0.99,241,431,0,1
2004.0,0.0,4.18,126864,0,425.7,255.42,0.99,242,430,7,2
2008.0,0.0,4.05,110597,0,5107.74,3064.644,11.99,244,426,6,2
1987.0,0.0,4.22,128450,0,3821.22,2292.732,8.97,244,426,0,2
2010.0,0.0,3.92,158063,0,420.75,252.45,0.99,245,425,5,2
1985.0,0.0,4.47,111498,0,1687.77,0.0,3.99,246,423,0,1
2003.0,0.0,4.05,122502,1,4473.0,2683.8,10.65,248,420,7,2
2011.0,0.0,4.22,140599,0,413.82,248.292,0.99,249,418,5,2
1998.0,0.0,4.3,115521,1,411.84,0.0,0.99,250,416,0,2
2009.0,0.0,3.82,119105,0,2070.85,1242.51,4.99,251,415,7,2
1982.0,0.0,4.34,108338,0,2537.9,1522.74,6.19,254,410,0,2
1970.0,0.0,3.99,109944,0,1219.92,0.0,2.99,255,408,0,2
2009.0,0.0,3.9,119739,0,1685.04,1011.024,4.13,255,408,0,2
1965.0,0.0,4.29,124805,1,2025.94,1215.564,4.99,256,406,7,2
1989.0,0.0,4.3,122540,1,2251.8,1351.08,5.56,257,405,0,2
1999.0,0.0,4.2,111497,0,1007.5,604.5,2.5,258,403,3,2
2003.0,0.0,4.07,113718,0,4270.65,2562.39,10.65,259,401,6,2
1894.0,0.0,4.5,109754,0,3180.02,1908.012,7.99,261,398,6,1
1599.0,0.0,3.65,119933,0,392.04,235.224,0.99,262,396,0,2
2011.0,0.0,3.81,110481,0,392.04,235.224,0.99,262,396,0,2
-380.0,0.0,3.9,110274,0,387.09,232.254,0.99,265,391,0,2
1593.0,0.0,3.81,126318,1,2726.1,1635.66,6.99,266,390,1,2
2014.0,0.0,4.46,162069,1,1154.14,692.484,2.99,268,386,5,1
2010.0,0.0,4.14,106542,0,766.15,459.69,1.99,269,385,7,2
1997.0,0.0,3.79,102746,0,3060.17,1836.102,7.99,270,383,6,2
2001.0,0.0,3.62,101436,0,758.19,0.0,1.99,271,381,0,2
1831.0,0.0,3.97,119851,1,3013.71,1808.226,7.91,271,381,0,2
1996.0,0.0,4.34,99252,0,1136.2,681.72,2.99,272,380,8,2
